id,name,ingredients,time,description,calories,protein,fat,sugar,sodium,carbs,meat_ingredients,is_vegetarian
1,arriba   baked winter squash mexican style,"winter squash, mexican seasoning, mixed spice, honey, butter, olive oil, salt",55,"make a choice and proceed with recipe depending on size of squash , cut into half or fourths remove seeds for spicy squash , drizzle olive oil or melted butter over each cut squash piece season with mexican seasoning mix ii for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece season with sweet mexican spice mix bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin be careful not to burn the squash especially if you opt to use sugar or butter if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking if desired , season with salt",51.5,2,0,13,0,4,,1
2,a bit different  breakfast pizza,"prepared pizza crust, sausage patty, eggs, milk, salt and pepper, cheese",30,preheat oven to 425 degrees f press dough into the bottom and sides of a 12 inch pizza pan bake for 5 minutes until set but not browned cut sausage into small pieces whisk eggs and milk in a bowl until frothy spoon sausage over baked crust and sprinkle with cheese pour egg mixture slowly over sausage and cheese s& p to taste bake 15-20 minutes or until eggs are set and crust is brown,173.4,22,18,0,17,1,sausage,0
3,apple a day  milk shake,"milk, vanilla ice cream, frozen apple juice concentrate, apple",0,combine ingredients in blender cover and blend until smooth sprinkle with ground cinnamon makes about 2 cups,160.2,9,10,55,3,7,,1
4,aww  marinated olives,"fennel seeds, green olives, ripe olives, garlic, peppercorn, orange rind, orange juice, red chile, extra virgin olive oil",15,"toast the fennel seeds and lightly crush them place all the ingredients in a bowl , stir well cover and leave to marinate keep refrigerated and use within 1 to 2 days",380.7,6,53,7,24,6,,1
5,beat this  banana bread,"sugar, unsalted butter, bananas, eggs, fresh lemon juice, orange rind, cake flour, baking soda, salt",70,"preheat oven to 350 degrees butter two 9x5"" loaf pans cream the sugar and the butter until light and whipped add the bananas , eggs , lemon juice , orange rind beat until blended uniformly be patient , and beat until the banana lumps are gone sift the dry ingredients together fold lightly and thoroughly into the banana mixture pour the batter into prepared loaf pans bake for 45 to 55 minutes , until the loaves are firm in the middle and the edges begin to pull away from the pans cool the loaves on racks for 30 minutes before removing from the pans freezes well",2669.3,62,160,976,107,138,,1
6,berry  good sandwich spread,"whole berry cranberry sauce, sour cream, prepared horseradish",5,"in medium size bowl , coarsely mash cranberry sauce stir in sour cream and horseradish until well blended",79.2,0,3,58,0,5,,1
7,calm your nerves  tonic,"gentian root, scullcap herb, burnet root, wood bethony, spearmint",5,"combine herbs dosage: one-half teaspoonful mixed in one-half glass of cold water , followed by a glass of hot water , one hour before each meal and upon retiring this can be put in gelatin capsules two no 00 capsules would contain the required amount for one dose more can be taken with beneficial results",8.2,1,0,0,0,0,,1
8,chile rellenos,"egg roll wrap, whole green chilies, cheese, cornstarch, oil",45,"drain green chiles sprinkle cornstarch on sheet pan open up chile and place on egg roll wrapper with corner facing you place cheese stick on chile and roll up , tucking in corners and moistening edges to seal toss in cornstarch , dusting liberally shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out drain on paper towels and keep warm in 250 oven serve as a side dish or appetizer with your favorite mexican meal add your favorite condi- ments / sauces",94.0,11,10,0,11,0,,1
9,chinese  candy,"butterscotch chips, chinese noodles, salted peanuts",15,melt butterscotch chips in heavy saucepan over low heat fold in peanuts and chinese noodles until coated drop by tablespoon onto waxed paper let stand in cool place until firm,232.7,6,21,77,4,8,,1
10,chinese  chop suey,"celery, onion, ground pork, soy sauce, beef broth, cooking oil, hamburger buns",70,"brown ground meat and onion in a large pot add 1 / 4 cup of soy sauce thinly slice the entire bunch of celery , including the leaves add beef broth and celery bring to a boil reduce heat and simmer until celery is tender add more soy sauce if needed , to taste serve as an open face sandwich over a hamburger bun",395.4,51,31,20,29,8,"beef, ham, pork",0
